player_augment,augment_name,win_rate,show_rate
1342,雪球扭蛋机,0.487052,0.012381
1170,万用瞄准镜,0.486129,0.024486
1075,慢炖,0.514082,0.021041
1133,魔法飞弹,0.501432,0.067298
1060,海洋龙魂,0.514751,0.017103
1156,任务：沃格勒特的巫师帽,0.50617,0.018997
1098,急急小子,0.491924,0.009605
1082,残暴之力,0.480583,0.018657
1406,祖母的辣椒油,0.540387,0.02245
1051,点亮他们！,0.500795,0.016454
1053,科学狂人,0.525611,0.011222
1311,溢流,0.504985,0.032106
1237,质变：黄金阶,0.507591,0.022371
1416,海克斯科技龙魂,0.489509,0.00494
1424,???,0.463112,0.001079
1181,重量级打击手,0.514988,0.029732
2008,负重爆气,0.489799,0.018528
1326,夜狩,0.464693,0.021291
1356,暴击飞弹,0.51136,0.012184
1041,歌利亚巨人,0.501549,0.044364
1389,男爵之手,0.532036,0.000992
1067,古式佳酿,0.500584,0.026292
2006,飞身踢,0.493049,0.013816
1113,老练狙神,0.481629,0.026776
1073,暗影疾奔,0.519945,0.022032
1037,急救用具,0.48316,0.013348
1063,狂徒豪气,0.517612,0.01376
1009,霸符兄弟,0.519572,0.014218
1208,轨道镭射,0.466422,0.002102
1349,终极唤醒,0.470989,0.010223
1028,侵蚀,0.502069,0.012383
1069,退敌力场,0.456557,0.005228
1062,全能龙魂,0.511969,0.008774
1418,砸开那颗蛋,0.495167,0.000277
1347,吵闹鬼,0.473141,0.002965
1361,任务：艾卡西亚的陷落,0.533575,0.005619
1038,有始有终,0.519817,0.038113
1194,精怪魔法,0.466745,0.007222
1305,练腿日,0.502041,0.015101
1107,接二连三,0.484573,0.029497
1358,弹球,0.468707,0.008925
1375,吞噬灵魂,0.493192,0.024587
1129,神射法师,0.48444,0.0235
1211,杀戮时间到了,0.482719,0.033125
1077,灵魂虹吸,0.503385,0.022776
1095,风语者的祝福,0.493868,0.005908
1104,仆从大师,0.50591,0.002547
1336,升级：无尽之刃,0.51449,0.024348
1340,升级：米凯尔的祝福,0.536272,0.002133
2009,狂热者,0.498092,0.010453
1319,升级：献祭,0.497888,0.015934
1187,闪光弹,0.481475,0.003848
1384,捐赠,0.533613,0.025798
1320,升级：收集者,0.487802,0.035991
1332,不祥契约,0.482198,0.008298
1047,关键暴击,0.482825,0.017823
1335,夺金,0.506458,0.007224
1402,属性叠属性叠属性！,0.535095,0.003803
1206,魔法转物理,0.501052,0.021321
1348,闪闪现现,0.453318,0.001553
2007,你肩上的恶魔,0.434707,0.002089
1310,小丑学院,0.533049,0.025633
1225,双刀流,0.54484,0.032317
1996,升级：耀光,0.505053,0.011785
1035,感受燃烧,0.49269,0.006124
1388,无限循环往复,0.507725,0.024205
1337,尊我为王,0.504991,0.006198
1002,尖端发明家,0.470913,0.024545
1050,基石法师,0.4962,0.014739
1250,一板一眼,0.485604,0.022152
1030,尤里卡,0.515016,0.042941
1007,大力,0.513805,0.014792
1353,坦克引擎,0.504442,0.080426
1331,至高天诺言,0.470823,0.001429
1039,冰霜 幽灵,0.487361,0.013095
1004,回归基本功,0.530062,0.011023
1018,巨像的勇气,0.471739,0.009248
1313,作弊：我能回城！,0.491796,0.030393
1149,不动如山,0.471523,0.011832
1411,升级：荆棘之甲,0.529303,0.003799
1108,自我毁灭,0.491298,0.017823
1025,俯冲轰炸,0.509935,0.021368
1020,黎明使者的坚决,0.492746,0.00968
1308,火狐,0.537136,0.010353
1151,面包和奶酪,0.48557,0.02004
1068,循环往复,0.504172,0.037602
0,无符文,0.671747,0.986316
1324,蛋白粉奶昔,0.463584,0.011318
1333,逃跑计划,0.54201,0.023541
1397,地狱三头犬,0.471066,0.008924
1057,山脉龙魂,0.477951,0.008428
1115,最万用的瞄准镜,0.491396,0.021629
1205,物理转魔法,0.495223,0.040828
1334,升级：雪球,0.490148,0.016911
1081,踢踏舞,0.497704,0.024674
1322,罪恶快感,0.490177,0.041089
1074,缩小射线,0.464227,0.018009
1116,闪现向前,0.476958,0.003523
1220,连拨击锤,0.460023,0.019104
1154,任务：海牛阿福的勇士,0.491932,0.005416
2010,双发快射,0.508901,0.00822
1011,你摸不到,0.458731,0.006495
1409,魄罗爆破手,0.501602,0.018624
1152,任务：钢化你心,0.498927,0.053161
1118,会心治疗,0.484188,0.034627
1214,旋转至胜,0.508309,0.00566
1023,魔鬼之舞,0.500467,0.011401
1092,易损,0.498818,0.025696
1392,神圣雪球,0.456134,0.004169
1198,圣火,0.469229,0.007013
1084,穿针引线,0.480113,0.047011
1070,无休回复,0.513421,0.012555
1048,珠光护手,0.489113,0.059537
1087,台风,0.482509,0.023027
1072,炽烈黎明,0.482612,0.005317
1401,生机迸发,0.495068,0.005369
1103,面包和黄油,0.479539,0.02793
1015,死亡之环,0.488326,0.008327
