championid,champion_name,player_augment,augment_name,win_rate,show_rate
56,魔腾,1038,有始有终,0.54411,0.000104
33,拉莫斯,1028,侵蚀,0.46816,0.000093
875,瑟提,1346,吸血习性,0.501288,0.000642
429,卡莉丝塔,1313,作弊：我能回城！,0.505797,0.000075
112,维克托,1037,急救用具,0.486111,0
887,格温,2006,飞身踢,0.557163,0.000028
106,沃利贝尔,1308,火狐,0.486715,0.000043
202,烬,1011,你摸不到,0.41855,0.00003
498,霞,1416,海克斯科技龙魂,0.512681,0.000018
910,彗,1064,坚韧,0.531358,0.000016
429,卡莉丝塔,1015,死亡之环,0.439815,0
17,提莫,1390,超凡邪恶,0.491448,0.000823
102,希瓦娜,1062,全能龙魂,0.505966,0.000045
233,贝蕾亚,1051,点亮他们！,0.539382,0.000032
92,锐雯,1409,魄罗爆破手,0.479137,0.000036
412,锤石,1082,残暴之力,0.397801,0.000013
67,薇恩,1097,巫师式思考,0.552849,0.000002
110,韦鲁斯,1415,双生火焰,0.452952,0.000193
117,璐璐,2006,飞身踢,0.415361,0.000004
6,厄加特,1053,科学狂人,0.497285,0.000076
4,崔斯特,1084,穿针引线,0.507216,0.000418
64,李青,1225,双刀流,0.420317,0.000017
141,凯隐,1115,最万用的瞄准镜,0.462423,0.000011
267,娜美,1152,任务：钢化你心,0.403063,0.000013
711,薇古丝,1400,最终都市列车,0.523117,0.000041
60,伊莉丝,1198,圣火,0.378049,0
6,厄加特,1051,点亮他们！,0.468618,0.000222
876,莉莉娅,1348,闪闪现现,0.51895,0.000008
142,佐伊,2010,双发快射,0.419247,0.000003
240,克烈,1337,尊我为王,0.497637,0.000012
40,迦娜,1415,双生火焰,0.479094,0.000024
10,凯尔,1053,科学狂人,0.546733,0.00004
13,瑞兹,1996,升级：耀光,0.412903,0
202,烬,1327,坚若磐石,0.433887,0.000005
888,烈娜塔,1324,蛋白粉奶昔,0.503365,0.00004
134,辛德拉,1406,祖母的辣椒油,0.534044,0.000229
523,厄斐琉斯,1113,老练狙神,0.433078,0.000016
24,贾克斯,1409,魄罗爆破手,0.491599,0.000047
76,奈德丽,1353,坦克引擎,0.448796,0.000104
78,波比,1038,有始有终,0.478786,0.000022
56,魔腾,1047,关键暴击,0.502258,0.000144
33,拉莫斯,1013,星界躯体,0.461423,0.000624
28,伊芙琳,1401,生机迸发,0.443549,0.000003
51,凯特琳,1375,吞噬灵魂,0.494848,0.00006
16,索拉卡,1337,尊我为王,0.493079,0.000009
143,婕拉,1389,男爵之手,0.546843,0.000008
55,卡特琳娜,1424,???,0.418953,0.000005
