championid,champion_name,pick_rate
498,霞,0.006368
526,芮尔,0.005962
902,米利欧,0.001493
120,赫卡里姆,0.008498
84,阿卡丽,0.002797
800,梅尔,0.010372
233,贝蕾亚,0.002546
161,维克兹,0.004989
516,奥恩,0.00708
799,安蓓萨,0.004374
75,内瑟斯,0.003928
72,斯卡纳,0.001669
61,奥莉安娜,0.003686
876,莉莉娅,0.007283
111,诺提勒斯,0.007032
236,卢锡安,0.012488
432,巴德,0.001212
200,卑尔维斯,0.003293
40,迦娜,0.00186
57,茂凯,0.006278
133,奎因,0.003621
39,艾瑞莉娅,0.002012
67,薇恩,0.012191
9,费德提克,0.005325
80,潘森,0.006732
23,泰达米尔,0.006615
48,特朗德尔,0.003205
53,布里茨,0.007807
44,塔里克,0.001504
22,艾希,0.010538
63,布兰德,0.013398
147,萨勒芬妮,0.005316
523,厄斐琉斯,0.004569
777,永恩,0.006527
106,沃利贝尔,0.0036
56,魔腾,0.003891
112,维克托,0.004849
150,纳尔,0.003309
202,烬,0.011253
427,艾翁,0.000648
7,乐芙兰,0.003701
31,科加斯,0.009579
68,兰博,0.005487
74,黑默丁格,0.003234
888,烈娜塔,0.001605
203,千珏,0.004244
421,雷克塞,0.001435
497,洛,0.001539
13,瑞兹,0.012507
16,索拉卡,0.003437
102,希瓦娜,0.004378
145,卡莎,0.011993
96,克格莫,0.005872
127,丽桑卓,0.003374
517,塞拉斯,0.009459
79,古拉加斯,0.004198
50,斯维因,0.008907
101,泽拉斯,0.006694
240,克烈,0.001156
157,亚索,0.008866
43,卡尔玛,0.0046
89,蕾欧娜,0.005589
895,尼菈,0.001585
904,未知英雄_904,0.006126
51,凯特琳,0.011283
163,塔莉垭,0.002877
142,佐伊,0.003284
141,凯隐,0.006752
901,斯莫德,0.012537
412,锤石,0.007989
10,凯尔,0.00778
77,乌迪尔,0.006102
104,格雷福斯,0.011534
246,奇亚娜,0.002735
34,艾尼维亚,0.003222
17,提莫,0.007797
222,金克丝,0.009623
24,贾克斯,0.006185
78,波比,0.004495
201,布隆,0.002519
266,亚托克斯,0.007432
119,德莱文,0.004923
126,杰斯,0.012847
81,伊泽瑞尔,0.010044
897,奎桑提,0.0028
21,厄运小姐,0.012955
893,阿萝拉,0.006409
59,嘉文四世,0.009986
103,阿狸,0.005866
8,弗拉基米尔,0.005388
5,赵信,0.005064
114,菲奥娜,0.003879
62,孙悟空,0.005526
234,佛耶戈,0.00543
245,艾克,0.006137
518,妮蔻,0.003395
98,慎,0.004884
267,娜美,0.001743
37,娑娜,0.00292
15,希维尔,0.006306
555,派克,0.006861
60,伊莉丝,0.001444
107,雷恩加尔,0.003549
154,扎克,0.004099
221,泽丽,0.003643
110,韦鲁斯,0.009234
3,加里奥,0.00715
27,辛吉德,0.006793
64,李青,0.007013
42,库奇,0.006401
238,劫,0.009072
14,赛恩,0.005611
6,厄加特,0.005393
117,璐璐,0.001928
420,俄洛伊,0.004833
25,莫甘娜,0.010445
950,纳亚菲利,0.004029
804,芸阿娜,0.005877
1,安妮,0.002107
143,婕拉,0.005581
26,基兰,0.003715
131,黛安娜,0.004326
223,塔姆,0.010761
875,瑟提,0.010309
35,萨科,0.009477
86,盖伦,0.011342
76,奈德丽,0.005206
38,卡萨丁,0.004225
12,阿利斯塔,0.005598
92,锐雯,0.003964
711,薇古丝,0.00281
83,约里克,0.001373
19,沃里克,0.002382
33,拉莫斯,0.003244
90,玛尔扎哈,0.00714
121,卡兹克,0.006359
115,吉格斯,0.005895
36,蒙多医生,0.011834
58,雷克顿,0.003331
136,奥瑞利安·索尔,0.009797
20,努努和威朗普,0.003281
29,图奇,0.009155
99,拉克丝,0.007367
4,崔斯特,0.007422
41,普朗克,0.007867
164,卡蜜尔,0.001677
82,莫德凯撒,0.008905
54,墨菲特,0.009934
69,卡西奥佩娅,0.003061
28,伊芙琳,0.000801
122,德莱厄斯,0.008413
887,格温,0.003513
85,凯南,0.003436
55,卡特琳娜,0.007573
45,维迦,0.008806
254,蔚,0.003313
2,奥拉夫,0.001776
18,崔丝塔娜,0.008507
235,赛娜,0.009948
350,悠米,0.003695
105,菲兹,0.009345
166,阿克尚,0.003469
11,易,0.009165
910,彗,0.005404
91,泰隆,0.004652
360,莎弥拉,0.006611
30,卡尔萨斯,0.007308
134,辛德拉,0.005835
429,卡莉丝塔,0.003854
268,阿兹尔,0.002713
113,瑟庄妮,0.00476
32,阿木木,0.003954
