aug_a,aug_a_name,aug_b,aug_b_name,pair_win_rate,pair_show_rate
1002,尖端发明家,1038,有始有终,0.47461,0.000303
1050,基石法师,2003,魄罗之王的弹跳,0.460559,0.000019
1211,杀戮时间到了,1308,火狐,0.499204,0.000274
1051,点亮他们！,1105,家园卫士,0.522343,0.000099
1068,循环往复,1317,升级：弯刀,0.428167,0.000013
1315,快中求稳,1329,史上最大雪球,0.50463,0.000148
1086,精准奇才,1214,旋转至胜,0.470296,0.000002
1150,面包和果酱,2006,飞身踢,0.46708,0.000126
1034,防护面纱,1035,感受燃烧,0.48772,0.000064
1154,任务：海牛阿福的勇士,1214,旋转至胜,0.502898,0.000034
1034,防护面纱,1319,升级：献祭,0.469787,0.00005
1072,炽烈黎明,1079,战争交响乐,0.438118,0.000037
1037,急救用具,1250,一板一眼,0.442659,0.000043
1405,速度恶魔,1413,和我一起困在这里,0.465944,0.000029
1118,会心治疗,1133,魔法飞弹,0.462056,0.000776
1108,自我毁灭,1345,心灵净化,0.462222,0.000566
1035,感受燃烧,1326,夜狩,0.467902,0.000077
1141,全心为你,1150,面包和果酱,0.474911,0.000128
1045,炼狱导管,1108,自我毁灭,0.478089,0.000227
1015,死亡之环,1361,任务：艾卡西亚的陷落,0.536192,0.000031
1034,防护面纱,2009,狂热者,0.49128,0.000047
1079,战争交响乐,1151,面包和奶酪,0.457412,0.000186
1032,裁决使,1409,魄罗爆破手,0.486814,0.001293
1053,科学狂人,1348,闪闪现现,0.483665,0.000021
1022,灵巧,1079,战争交响乐,0.502203,0.001675
1013,星界躯体,1151,面包和奶酪,0.464237,0.000401
1092,易损,1996,升级：耀光,0.526761,0.000324
1067,古式佳酿,1392,神圣雪球,0.44804,0.000045
1301,神圣干预,1414,卡皮巴拉空投,0.454175,0.000032
1034,防护面纱,1401,生机迸发,0.482971,0.000031
1092,易损,1243,质变：混沌,0.495746,0.000494
1105,家园卫士,1384,捐赠,0.553801,0.000179
1002,尖端发明家,1103,面包和黄油,0.456003,0.000501
1092,易损,1138,渴血,0.513022,0.001112
