铁血狼母 安蓓萨
刀锋之影 泰隆
永恒梦魇 魔腾
元素女皇 奇亚娜
虚空掠夺者 卡兹克
影流之镰 凯隐
封魔剑魂 永恩
恶魔小丑 萨科
傲之追猎者 雷恩加尔
影流之主 劫
百裂冥犬 纳亚菲利
时间刺客 艾克
蜘蛛女皇 伊莉丝
潮汐海灵 菲兹
皎月女神 黛安娜
虚空行者 卡萨丁
狂野女猎手 奈德丽
离群之刺 阿卡丽
痛苦之拥 伊芙琳
诡术妖姬 乐芙兰
不祥之刃 卡特琳娜
血港鬼影 派克
无极剑圣 易
武器大师 贾克斯
祖安怒兽 沃里克
德邦总管 赵信
德玛西亚皇子 嘉文四世
蛮族之王 泰达米尔
放逐之刃 锐雯
皮城执法官 蔚
盲僧 李青
诺克萨斯之手 德莱厄斯
不屈之枪 潘森
暗裔剑魔 亚托克斯
狂厄蔷薇 贝蕾亚
海兽祭司 俄洛伊
破败之王 佛耶戈
德玛西亚之力 盖伦
龙血武姬 希瓦娜
无双剑姬 菲奥娜
刀锋舞者 艾瑞莉娅
荒漠屠夫 雷克顿
战争之影 赫卡里姆
齐天大圣 孙悟空
虚空女皇 卑尔维斯
青钢影 卡蜜尔
暴怒骑士 克烈
虚空遁地兽 雷克塞
无畏战车 厄加特
腕豪 瑟提
不落魔锋 亚恒
牧魂人 约里克
疾风剑豪 亚索
海洋之灾 普朗克
未来守护者 杰斯
狂战士 奥拉夫
迷失之牙 纳尔
双界灵兔 阿萝拉
九尾妖狐 阿狸
发条魔灵 奥莉安娜
光辉女郎 拉克丝
愁云使者 薇古丝
暗黑元首 辛德拉
岩雀 塔莉垭
符文法师 瑞兹
卡牌大师 崔斯特
天启者 卡尔玛
黑暗之女 安妮
万花通灵 妮蔻
虚空先知 玛尔扎哈
虚空之眼 维克兹
远古巫灵 泽拉斯
爆破鬼才 吉格斯
暮光星灵 佐伊
酒桶 古拉加斯
复仇焰魂 布兰德
冰霜女巫 丽桑卓
铸星龙王 奥瑞利安·索尔
流光镜影 梅尔
邪恶小法师 维迦
解脱者 塞拉斯
奥术先驱 维克托
迅捷斥候 提莫
大发明家 黑默丁格
荆棘之兴 婕拉
死亡颂唱者 卡尔萨斯
异画师 彗
魔蛇之拥 卡西奥佩娅
冰晶凤凰 艾尼维亚
含羞蓓蕾 莉莉娅
沙漠皇帝 阿兹尔
雪原双子 努努和威朗普
机械公敌 兰博
狂暴之心 凯南
远古恐惧 费德提克
铁铠冥魂 莫德凯撒
诺克萨斯统领 斯维因
灵罗娃娃 格温
堕落天使 莫甘娜
猩红收割者 弗拉基米尔
英勇投弹手 库奇
炽炎雏龙 斯莫德
暴走萝莉 金克丝
圣枪游侠 卢锡安
法外狂徒 格雷福斯
暗夜猎手 薇恩
沙漠玫瑰 莎弥拉
德玛西亚之翼 奎因
瘟疫之源 图奇
寒冰射手 艾希
赏金猎人 厄运小姐
残月之肃 厄斐琉斯
荣耀行刑官 德莱文
戏命师 烬
皮城女警 凯特琳
永猎双子 千珏
探险家 伊泽瑞尔
复仇之矛 卡莉丝塔
惩戒之箭 韦鲁斯
涤魂圣枪 赛娜
祖安花火 泽丽
深渊巨口 克格莫
正义天使 凯尔
战争女神 希维尔
逆羽 霞
不羁之悦 尼菈
麦林炮手 崔丝塔娜
影哨 阿克尚
虚空之女 卡莎
不破之誓 芸阿娜
圣锤之毅 波比
上古领主 斯卡纳
河流之王 塔姆
深海泰坦 诺提勒斯
扭曲树精 茂凯
牛头酋长 阿利斯塔
曙光女神 蕾欧娜
正义巨像 加里奥
亡灵战神 赛恩
山隐之焰 奥恩
祖安狂人 蒙多医生
北地之怒 瑟庄妮
暮光之眼 慎
殇之木乃伊 阿木木
纳祖芒荣耀 奎桑提
生化魔人 扎克
披甲龙龟 拉莫斯
虚空恐惧 科加斯
熔岩巨兽 墨菲特
兽灵行者 乌迪尔
炼金术士 辛吉德
不灭狂雷 沃利贝尔
巨魔之王 特朗德尔
沙漠死神 内瑟斯
风暴之怒 迦娜
魂锁典狱长 锤石
仙灵女巫 璐璐
琴瑟仙女 娑娜
众星之子 索拉卡
翠神 艾翁
明烛 米利欧
炼金男爵 烈娜塔
唤潮鲛姬 娜美
魔法猫咪 悠米
星籁歌姬 萨勒芬妮
时光守护者 基兰
蒸汽机器人 布里茨
幻翎 洛
镕铁少女 芮尔
瓦洛兰之盾 塔里克
弗雷尔卓德之心 布隆
星界游神 巴德
